date,time,load_act
20240501,0,2171
20240501,100,2073
20240501,200,2055
20240501,300,2088
20240501,400,2111
20240501,500,2132
20240501,600,2242
20240501,700,2433
20240501,800,2688
20240501,900,2847
20240501,1000,2870
20240501,1100,2852
20240501,1200,2791
20240501,1300,2873
20240501,1400,2867
20240501,1500,2858
20240501,1600,2896
20240501,1700,2902
20240501,1800,2924
20240501,1900,2850
20240501,2000,2737
20240501,2100,2579
20240501,2200,2412
20240501,2300,2282
20240502,0,2121
20240502,100,2034
20240502,200,2034
20240502,300,2085
20240502,400,2117
20240502,500,2143
20240502,600,2170
20240502,700,2262
20240502,800,2480
20240502,900,2733
20240502,1000,2861
20240502,1100,2890
20240502,1200,2769
20240502,1300,2747
20240502,1400,2702
20240502,1500,2654
20240502,1600,2651
20240502,1700,2676
20240502,1800,2751
20240502,1900,2747
20240502,2000,2646
20240502,2100,2518
20240502,2200,2378
20240502,2300,2257
20240503,0,2088
20240503,100,1998
20240503,200,1995
20240503,300,2036
20240503,400,2055
20240503,500,1996
20240503,600,1934
20240503,700,1981
20240503,800,2157
20240503,900,2338
20240503,1000,2434
20240503,1100,2492
20240503,1200,2486
20240503,1300,2432
20240503,1400,2363
20240503,1500,2342
20240503,1600,2367
20240503,1700,2437
20240503,1800,2535
20240503,1900,2555
20240503,2000,2481
20240503,2100,2365
20240503,2200,2241
20240503,2300,2141
20240504,0,1993
20240504,100,1912
20240504,200,1919
20240504,300,1957
20240504,400,1974
20240504,500,1917
20240504,600,1864
20240504,700,1933
20240504,800,2097
20240504,900,2278
20240504,1000,2435
20240504,1100,2486
20240504,1200,2505
20240504,1300,2463
20240504,1400,2409
20240504,1500,2391
20240504,1600,2431
20240504,1700,2494
20240504,1800,2572
20240504,1900,2579
20240504,2000,2478
20240504,2100,2349
20240504,2200,2235
20240504,2300,2140
20240505,0,1999
20240505,100,1910
20240505,200,1900
20240505,300,1945
20240505,400,1958
20240505,500,1897
20240505,600,1855
20240505,700,1936
20240505,800,2103
20240505,900,2299
20240505,1000,2455
20240505,1100,2534
20240505,1200,2555
20240505,1300,2511
20240505,1400,2438
20240505,1500,2416
20240505,1600,2447
20240505,1700,2488
20240505,1800,2579
20240505,1900,2588
20240505,2000,2498
20240505,2100,2383
20240505,2200,2271
20240505,2300,2178
20240506,0,2033
20240506,100,1945
20240506,200,1948
20240506,300,1981
20240506,400,1995
20240506,500,1921
20240506,600,1936
20240506,700,2066
20240506,800,2263
20240506,900,2471
20240506,1000,2569
20240506,1100,2485
20240506,1200,2397
20240506,1300,2475
20240506,1400,2560
20240506,1500,2576
20240506,1600,2608
20240506,1700,2646
20240506,1800,2763
20240506,1900,2754
20240506,2000,2654
20240506,2100,2516
20240506,2200,2393
20240506,2300,2281
20240507,0,2132
20240507,100,2043
20240507,200,2042
20240507,300,2081
20240507,400,2109
20240507,500,2169
20240507,600,2353
20240507,700,2608
20240507,800,2902
20240507,900,3068
20240507,1000,3160
20240507,1100,3212
20240507,1200,3025
20240507,1300,3211
20240507,1400,3232
20240507,1500,3196
20240507,1600,3188
20240507,1700,3129
20240507,1800,3137
20240507,1900,3056
20240507,2000,2924
20240507,2100,2769
20240507,2200,2630
20240507,2300,2487
20240508,0,2315
20240508,100,2213
20240508,200,2193
20240508,300,2230
20240508,400,2253
20240508,500,2258
20240508,600,2339
20240508,700,2558
20240508,800,2882
20240508,900,3121
20240508,1000,3221
20240508,1100,3259
20240508,1200,3123
20240508,1300,3232
20240508,1400,3267
20240508,1500,3231
20240508,1600,3202
20240508,1700,3135
20240508,1800,3114
20240508,1900,3025
20240508,2000,2892
20240508,2100,2741
20240508,2200,2605
20240508,2300,2472
20240509,0,2296
20240509,100,2205
20240509,200,2204
20240509,300,2247
20240509,400,2286
20240509,500,2347
20240509,600,2470
20240509,700,2748
20240509,800,3058
20240509,900,3084
20240509,1000,3102
20240509,1100,3003
20240509,1200,2951
20240509,1300,3106
20240509,1400,2991
20240509,1500,2912
20240509,1600,2943
20240509,1700,2972
20240509,1800,3056
20240509,1900,3060
20240509,2000,2943
20240509,2100,2803
20240509,2200,2659
20240509,2300,2513
20240510,0,2325
20240510,100,2225
20240510,200,2230
20240510,300,2285
20240510,400,2332
20240510,500,2346
20240510,600,2379
20240510,700,2514
20240510,800,2800
20240510,900,3056
20240510,1000,3152
20240510,1100,3184
20240510,1200,3068
20240510,1300,3123
20240510,1400,3069
20240510,1500,3032
20240510,1600,3041
20240510,1700,2993
20240510,1800,3007
20240510,1900,2986
20240510,2000,2867
20240510,2100,2720
20240510,2200,2605
20240510,2300,2479
20240511,0,2295
20240511,100,2191
20240511,200,2187
20240511,300,2223
20240511,400,2226
20240511,500,2156
20240511,600,2117
20240511,700,2201
20240511,800,2408
20240511,900,2630
20240511,1000,2725
20240511,1100,2773
20240511,1200,2750
20240511,1300,2714
20240511,1400,2646
20240511,1500,2613
20240511,1600,2631
20240511,1700,2671
20240511,1800,2733
20240511,1900,2734
20240511,2000,2646
20240511,2100,2518
20240511,2200,2407
20240511,2300,2311
20240512,0,2160
20240512,100,2068
20240512,200,2058
20240512,300,2093
20240512,400,2103
20240512,500,2024
20240512,600,1983
20240512,700,2102
20240512,800,2234
20240512,900,2381
20240512,1000,2457
20240512,1100,2504
20240512,1200,2469
20240512,1300,2494
20240512,1400,2506
20240512,1500,2543
20240512,1600,2522
20240512,1700,2641
20240512,1800,2761
20240512,1900,2753
20240512,2000,2669
20240512,2100,2566
20240512,2200,2440
20240512,2300,2326
20240513,0,2165
20240513,100,2076
20240513,200,2072
20240513,300,2114
20240513,400,2164
20240513,500,2220
20240513,600,2371
20240513,700,2622
20240513,800,2928
20240513,900,3180
20240513,1000,3246
20240513,1100,3249
20240513,1200,3134
20240513,1300,3238
20240513,1400,3254
20240513,1500,3219
20240513,1600,3223
20240513,1700,3170
20240513,1800,3157
20240513,1900,3055
20240513,2000,2922
20240513,2100,2762
20240513,2200,2626
20240513,2300,2481
20240514,0,2314
20240514,100,2211
20240514,200,2206
20240514,300,2245
20240514,400,2284
20240514,500,2282
20240514,600,2341
20240514,700,2509
20240514,800,2764
20240514,900,2985
20240514,1000,2987
20240514,1100,3061
20240514,1200,3020
20240514,1300,3145
20240514,1400,3045
20240514,1500,2977
20240514,1600,3027
20240514,1700,3022
20240514,1800,3044
20240514,1900,3021
20240514,2000,2906
20240514,2100,2755
20240514,2200,2629
20240514,2300,2489
20240515,0,2305
20240515,100,2199
20240515,200,2203
20240515,300,2250
20240515,400,2268
20240515,500,2253
20240515,600,2309
20240515,700,2479
20240515,800,2810
20240515,900,3114
20240515,1000,3241
20240515,1100,3291
20240515,1200,3181
20240515,1300,3240
20240515,1400,3175
20240515,1500,3232
20240515,1600,3230
20240515,1700,3120
20240515,1800,3129
20240515,1900,3064
20240515,2000,2934
20240515,2100,2786
20240515,2200,2663
20240515,2300,2525
20240516,0,2348
20240516,100,2244
20240516,200,2227
20240516,300,2262
20240516,400,2286
20240516,500,2304
20240516,600,2414
20240516,700,2635
20240516,800,2897
20240516,900,3114
20240516,1000,3146
20240516,1100,3159
20240516,1200,3076
